[STRING]
String = 60000,test
String = 61105,軍團巧遇雲遊仙人。
String = 61106,老朽本欲以仙法相助，無奈汝等歷練不足，可惜！可惜！
String = 61107,非是老夫不願相助，只是汝等尚欠磨練，他日再來吧！
String = 61108,汝等武功尚欠火候，難受老朽仙法，寄望他日有緣相遇，將軍能有所長進。
String = 61109,部隊領受仙法加身。
String = 61110,身受老夫仙術，當替天行道，匡正亂世，望汝等好自為之，老夫去矣～
String = 61111,汝等根基已更進一層，望汝等早日還人間太平安樂，老朽告辭～
String = 61112,汝等受吾仙法，資質已今非昔比，老朽功成身退，就此拜別～
String = 61113,軍團遭仙人擊敗。
String = 61114,看來機緣未至，可惜！可惜！老朽告退～
String = 61115,天命如此，只好一切隨緣，老夫去矣～
String = 61116,著實可惜，看來將軍與老夫無緣，吾身去矣～
String = 61117,呵呵！別跟老夫客氣，儘管放馬過來。
String = 61118,果然有本事！
String = 61119,孺子可教，老夫的眼光不差。
String = 61120,看來汝等歷練尚淺，可惜！可惜！
String = 61121,軍團發現上古石碑。
String = 61122,我軍能力不足，無法解讀碑文。
String = 61123,碑文艱深，我軍無人可識。
String = 61124,碑文年代久遠，我軍無法譯解。
String = 61125,我軍武將
String = 61126,習得武將技-
String = 61127,領悟碑文所載，石碑因年代久遠，已化為灰粉，隨風而散。
String = 61128,領悟碑文玄機，可惜石碑突然粉碎，化為塵土一坏。
String = 61129,領悟碑文奧秘，石碑立即化為無數碎片，難再修復。
String = 61130,石碑風化消失。
String = 61131,上古石碑脆弱不堪，一經碰觸，立即粉碎。
String = 61132,討伐
String = 61133,撤退
String = 61134,收編
String = 61135,拒絕
String = 61136,打撈
String = 61137,通過
String = 61138,挑戰
String = 61139,繞路
String = 61140,接受
String = 61141,金錢
String = 61142,寶物
String = 61143,各武將兵力增加
String = 61144,所屬城市民心上升
String = 61145,獲得座騎
String = 61146,獎勵武將
String = 61147,智力 +
String = 61148,武力 +
String = 61149,技力上限 +
String = 61150,體力上限 +
String = 61151,獲得物品：
String = 61152,獲得金錢：
String = 61153,此地荒廢已久。
String = 61154,是否攻擊
String = 61155,攻擊
String = 61156,放棄
String = 61157,(
String = 61158,)
String = 61159,。
String = 61160,，
String = 61161,、
String = 61162,增加
String = 61163,損失
String = 61164,預備兵
String = 61165,人口
String = 61166,開發
String = 61167,防禦
String = 61168,士氣
String = 61169,軍團士氣減少
String = 61170,損失所有金錢
String = 61171,等
String = 61172,人
String = 61173,習得軍師技-
String = 61184,%s 太守 %s 治理地方%s\n%s。\n%s%s %d
String = 61185,%s %s，\n太守 %s %s\n
String = 61186,我軍陣營紫氣衝天，此乃祥瑞，本月福運必接踵而至！
String = 61187,我軍所經之處霞光閃動，此兆大吉，本月必鴻運當頭！
String = 61188,我軍城寨之上，有七彩祥雲數朵，久久不散，此乃天賜福運之兆，本月必有連番喜事！
String = 61189,吾夜觀星象，驚見妖星掠空而行，此乃大凶之兆，本月必禍事連連！！
String = 61190,吾見黑氣一道直貫我軍城寨，此七煞之兆也，本月必諸事不順！
String = 61191,我軍城寨忽遭雷擊起火，晴天霹靂乃極凶之兆，本月恐怕大禍臨頭！
String = 61192,百里之地，何難發落？
String = 61193,此乃天佑我軍，成就大事之日不遠。
String = 61194,萬民歸心，實乃我軍之福。
String = 61195,此乃我軍奉行仁義所致，非我一人之功。
String = 61196,區區百里之地，何難治理？
String = 61197,吾人轄地日漸富強，必為我軍一大重鎮。
String = 61198,吾人轄地昌榮日盛，必為我軍重要之地。
String = 61199,縱州郡封國吾亦如掌上觀，況一百里之地？
String = 61200,此乃我軍之福，非我一人之功。
String = 61201,我軍乃天道所歸，轄地繁榮自屬當然。
String = 61202,此乃無心之過，吾當警惕。
String = 61203,吾人有失職守，實在慚愧。
String = 61204,吾一時失察，有負眾人所託。
String = 61205,天賜災禍，難道我軍有違天道。
String = 61206,此事乃吾人之過，自當檢討一番。
String = 61207,吾人有虧職守，實在辜負我軍重託。
String = 61208,是吾人疏忽，耽誤我軍大事。
String = 61209,此事乃吾之過失，慚愧之至！
String = 61210,此事乃吾之疏失，當記取教訓，莫再犯錯。
String = 61211,此事是我一時疏忽，汗顏之至。
String = 61212,小有成效，
String = 61213,成效良好，
String = 61214,政績卓越，
String = 61215,民安城富，
String = 61216,昏庸無能，導致損失慘重。
String = 61217,處置失當，導致大量損失。
String = 61218,及時處置，導致少許損失。
String = 61219,處置得宜，導致輕微損失。
String = 61220,城中百姓來獻家傳寶物
String = 61221,城中富商贊助軍資糧餉
String = 61222,青年壯丁自願入伍從軍
String = 61223,外地人民遷徙入城
String = 61224,磚石工匠自願修築城牆
String = 61225,地方士紳備酒菜肉食前來勞軍
String = 61226,城中市集規模擴大
String = 61227,城內暴民四處劫掠
String = 61228,軍中士兵鼓譟叛變
String = 61229,城中人口向外遷移
String = 61230,城牆發生崩塌
String = 61231,遭受大群蝗蟲侵襲
String = 61232,發生無名火災
String = 61233,山洪爆發，大水圍城
String = 61234,城中市集日漸萎縮
String = 61235,吾人轄地建業東北之毒龍潭，近日雷鳴閃光不斷，隱約有龍吟之聲，似有異象現世，我軍當多加留意。
String = 61236,吾轄地江洲以北之猛虎穴，近日狂風大作，挾帶虎嘯之聲，此乃異象，我軍當多加留意。
String = 61237,吾轄地平原東北之大雪山，近日風雪漫天，凍土百里，傳聞有罕世巨獸出沒，我軍當多加留意。
String = 61238,吾人轄地交趾東北之火焰山，近日烈焰衝天，火光之中似有飛物，此異象也，我軍當多加留意。
String = 61239,我轄地襄陽西北之獸神洞，近日時有異獸咆哮，其聲之巨，能令地動山搖，方圓百里皆感震動，我軍當多加留意。
String = 61240,吾人轄地武陵以西，近來飄散五彩雲霞，隱約有桃花清香，方圓數十里皆可聞，我軍當多加留意。
String = 61241,我轄地徐州以西之屍洞，近來妖氣衝天，傳聞有大批活屍出沒，我軍當多加小心。
String = 61242,%s，閉鎖千年的青龍之塔已重新開啟！！
String = 61243,%s，閉鎖千年的白虎之塔已重新開啟！！
String = 61244,%s，閉鎖千年的玄武之塔已重新開啟！！
String = 61245,%s，閉鎖千年的朱雀之塔已重新開啟！！
String = 61246,%s，閉鎖千年的麒麟之塔已重新開啟！！
String = 61247,下邳以北，傳說中的九泉之淵重現塵世！！
String = 61248,汝等具有挑戰%s本尊的資格，前往%s尋覓%s之塔吧！
String = 61249,我終於找到足以支配神獸的當世強者了，速速前往%s的%s之塔吧！
String = 61250,吾蟠踞此地多年，正是為了尋找汝等足堪大任之輩，前往%s的%s之塔吧！
String = 61251,吳以北
String = 61252,成都以西
String = 61253,平原西北
String = 61254,桂林以南
String = 61255,白帝東北
String = 61256,汝等足堪大任，領受天界秘寶─%s吧！！
String = 61257,汝等可受繼天命，受我天界秘寶─%s，願汝等用於正途之上！！
String = 61258,汝等確實擁有支配神獸之力，接下天界秘寶─%s吧！！
String = 61259,屍洞封印已破，施主乃非凡之輩也，宜速往%s之九泉之淵尋求幽魂還陽之法。
String = 61260,屍洞所禁之魂已飛散四處，施主可前往%s之九泉之淵，或有招魂轉生之契機。
String = 61261,施主已釋放屍洞無數幽魂，宜前往%s的九泉之淵探索還陽轉生之術。
String = 61262,下邳以北
String = 61263,當世強者果真不同凡響，影%s心服。
String = 61264,汝等實力果然堅強，影%s認輸了。
String = 61265,果然強中自有強中手，滾滾紅塵之中亦有不世之才。
String = 61266,不愧是%s認可的強者，吾雖敗猶榮。
String = 61267,受繼天命之人果然不凡，%s心服口服。
String = 61268,我果然沒有看錯人，汝等之力已超越神獸。
String = 61269,施主實力已勝老衲許多，但願施主早日一統天下，還百姓安樂生活。
String = 61270,施主實力已非老衲所能及，建功立業指日可待。
String = 61271,施主英雄蓋世，實非老衲所能及，慚愧！慚愧！
String = 61272,施主的毅力令老衲佩服，老衲就破例以禁忌之術，將已死於過去的英雄豪傑再次復活吧！願施主能匡正亂世，重新將太平盛世帶回人世間‧‧‧
String = 61273,也罷！或許非常之亂世就需要非常的力量，老衲就破例施展還陽之術，讓已死於過去的英雄豪傑再次重生吧！
String = 61274,施主的修為足以掌控幽冥之力，待老衲破例施展喚魂之術，令徘徊於此的豪傑之魂重生，但願施主早日平定亂世，再造安樂富足的大同世界。
String = 61275,汝等實力足堪支配木人力士，冀望汝等早日平定亂世烽火，還人間清靜安詳。
String = 61276,老夫肯定汝等實力，現授與操控木人力士之法，助汝等早成大業。
String = 61277,老夫現將木人力士交予汝等，願汝等替天行道，拯救黎民百姓於水火之中。
String = 61278,吾乃%s之分身，無知凡人焉敢冒犯！！
String = 61279,%s分身在此，擅入禁地者該當何罪？
String = 61280,無故打擾神獸化身，汝等知罪否？
String = 61281,吾乃%s，凡人啊！證明汝等之實力吧！！
String = 61282,凡人啊！體驗%s之力吧！！
String = 61283,塵世俗人，準備接受%s的考驗吧！！
String = 61284,苦海無邊，回頭是岸。屍洞乃鎮壓世間幽魂之地，凡人不可久居。施主若不聽老衲的勸告，老衲也只能以武力強迫施主離開了‧‧‧
String = 61285,屍洞封印無數徘徊於陽世的幽魂，若施主執意一闖，休怪老衲手段強硬。
String = 61286,屍洞乃陽世幽魂禁錮之所，生生死死皆屬世間常規。施主若妄想逆天行事，老衲只好動用武力，請施主見諒。
String = 61287,九泉之淵乃是陰陽交界之地，彼端乃活人不可觸及的禁地。施主若執意要觸犯禁忌的話，就先過老衲這關吧‧‧‧
String = 61288,九泉之淵乃是陽世陰間相連之所，鎮守此地乃老衲天命。職責所在，老衲只得盡忠職守，施主請接招‧‧‧
String = 61289,九泉之淵埋藏無上幽冥之力，非大能為者不能掌控。除非證明施主能力超凡，否則老衲無法放行，施主出招吧！！
String = 61290,貴客尋得桃源仙鄉之徑，實屬有緣，本大仙就破例跟你們過過招吧！
String = 61291,天界仙法並非庸俗之人所能學習，待本大仙秤秤你們斤兩！
String = 61292,要得到天界秘法，就先通過本大仙的考驗吧！
String = 61293,汝等知曉自身力量之渺小否？
String = 61294,不知天高地厚的凡間小輩，深自反省去吧！
String = 61295,汝等之力微不足道，敗之當然也！
String = 61296,汝等修為尚淺，難以駕馭%s之力。
String = 61297,%s的考驗非是輕易，汝等再去磨練一番吧！！
String = 61298,唯有非凡強者方能駕馭神獸之力，汝等再行鍛鍊吧！！
String = 61299,施主實力仍屬泛泛，斷無逆天之能為，請回吧！
String = 61300,逆天行事乃超凡入聖之輩所能為，施主切莫心存妄念。
String = 61301,非凡之人方能動用非凡之力，勸施主多加鍛鍊，來日必成大器。
String = 61302,施主實無駕馭幽冥之力，恕老衲愛莫能助。
String = 61303,幽冥之力非同小可，稍一不慎，恐成亂世禍端，請施主多加磨練，普靜靜候施主佳音。
String = 61304,無法戰勝老衲，便是不能掌握幽冥之力的證明，施主請回吧！
String = 61305,汝等雖有仙緣，無奈歷練尚淺，實在無法匹配木人力士的絕世神力。
String = 61306,汝等勇氣可嘉，可惜實力平平，恐怕難以駕馭木人力士，磨練一番再來挑戰吧！
String = 61307,汝等乃天命所歸，多加磨練必成大器，他日武功大成之日再來挑戰吧！
String = 61308,吾乃堂堂神獸分身，汝等能敗我，實非凡夫！
String = 61309,竟能擊敗我%s，你們實在不簡單啊！
String = 61310,能擊敗我%s，汝等實非泛泛之輩！
String = 61311,能擊敗吾%s，汝等實力已入超凡之境。
String = 61312,我%s竟有落敗之時，難道世局將有大變？
String = 61313,汝等實非庸人，竟有實力擊敗我%s。
String = 61314,施主之能為，實乃世間少有，老衲汗顏。
String = 61315,施主大賢，老衲甘敗下風。
String = 61316,施主高明，老納拜服。
String = 61317,施主有絕地通天之能，普靜認輸了。
String = 61318,施主有萬夫莫敵之勇，老衲心服口服。
String = 61319,老納服輸了，施主真乃當世強者。
String = 61320,呵！呵！能打敗本大仙，汝等非是池中物啊！
String = 61321,不錯！不錯！汝等之力著實不凡。
String = 61322,能夠擊敗本大仙，汝等實力世間少有。
String = 61323,復活名將
String = 61324,沒有可以復活的武將！
String = 61325,等人習得木人力士！
String = 61326,東方神獸
String = 61327,西方神獸
String = 61328,南方神獸
String = 61329,北方神獸
String = 61330,神獸之長
String = 61331,神獸青龍
String = 61332,神獸白虎
String = 61333,神獸朱雀
String = 61334,神獸玄武
String = 61335,鎮守東方的神獸
String = 61336,鎮守西方的神獸
String = 61337,鎮守南方的神獸
String = 61338,鎮守北方的神獸
String = 61339,天雷
String = 61340,雷霆
String = 61341,疾風
String = 61342,狂風
String = 61343,烈焰
String = 61344,烈火
String = 61345,怒濤
String = 61346,流水
String = 61347,大地
String = 61348,%s 已被開啟。
String = 61349,沒有可以復活的武將！
String = 61350,復活名將：
String = 61351,等人習得木人力士！
String = 61352,本月運勢大吉。
String = 61353,本月運勢大凶。
String = 61354,獲得：奧汀祕術
String = 61355,獲得：真奧汀祕術
String = 61356,能夠使轄地人民安居樂業，你不簡單啊！這玩意就送給你了，好好運用吧！
String = 61357,呵呵！老夫眼光不差，你果然是萬民歸心的真命天子，收下這終極秘寶吧！
String = 61371,#a02# 表奏辭官歸田，挂印封金，逕行而去矣˙˙˙˙
String = 61372,#a03# 已厭倦血腥殺戮，就此辭官歸隱，不問世事，請主公多多保重， 屬下告辭！！
String = 61373,#a03# 自覺力不從心，就此歸隱山林，辜負主公知遇之恩，請主公見諒！
String = 61374,某自覺無助於主公大業，就此辭官歸田，主公錯愛之恩，末將永生難忘！！
String = 61375,#a02# 舊傷復發，藥石罔效，已不幸逝世。
String = 61376,#a02# 因積勞成疾，導致氣血虛耗，已回天乏術。
String = 61377,#a02# 忽染重症，不幸身亡。
String = 61378,#a03# 雖屢戰屢敗，未立寸功，今姑念其忠心，官職追升一級，好生安葬。
String = 61379,#a03# 雖戰功平平，但無功勞，亦有苦勞，官職追升二級，安葬以將軍之禮。
String = 61380,#a03# 為吾南征北討，出生入死，如今不幸亡故，吾深痛之，官晉三級，大將之禮厚葬。
String = 61381,#a03# 不幸隕世，吾痛失愛將，特以公侯之禮大葬，吾人親自奠酒致祭矣。
String = 61382,嗚呼！#a03# 驟逝，猶如青天霹靂！吾人痛失手足矣，令以國殤大禮葬之，文武官僚盡皆挂孝，吾親送靈柩入土安葬。
String = 61383,我軍武將 #a02#隻身叛逃，往 #b04# 陣營去了！！
String = 61384,非是 #a03# 無義，實乃大勢所趨，萬不得已。
String = 61385,良禽擇木而棲，休怪我 #a02# 忘恩負義！
String = 61386,汝無識人之明，某只得另謀賢主！
String = 61387,#a02# 遭到 #b04# 斬首。
String = 61388,背主之人，留之何用？！  殺！！
String = 61389,賣主求榮，無道之輩！！  取你狗命！
String = 61390,吾人豈能容此背主叛賊？！ 此時不殺，更待何時？
String = 61391,#a02# 進駐 #b04# 軍 %s。
String = 61392,吾得 #a03#，如虎添翼也。
String = 61393,懂得來投我麾下，#a03# 真明智之人。
String = 61394,#a03# 來投，吾正求之不得。
String = 61395,#b04#軍武將 #b02# 棄官潛逃，來投我方。
String = 61396,久聞 #b04#大人乃當世明主，某特來投奔，望君不棄，收為部卒。
String = 61397,某聞 #b04# 大人仁義布於四海，故飛馬來投，望君收留。
String = 61398,不才久聞 #b04# 大人賢名，今日來投，望君接納。
String = 61399,#a02# 加入 #b04#軍，進駐 %s。
String = 61400,謝主公收容之恩，末將沒齒難忘。
String = 61401,蒙主公不棄，#a03# 必鞠躬盡瘁，死而後已。
String = 61402,#a03# 叩謝主公接納之恩，來日必立功以報。
String = 61403,我軍處斬 #a02#。
String = 61404,忘義背主之賊，某生平痛恨，焉有接納之理？斬！！
String = 61405,朝三暮四之徒，用之豈不自取滅亡？ 押下去斬首示眾！！
String = 61406,吾人麾下那有不義奸賊容身之地？ 拖下去斬了！！
String = 61407,#a02# 自修有成，領悟 %s %s。
String = 61408,吾人頓悟技能奧秘，自覺文韜武略似乎略有精進。
String = 61409,#a03# 自修略有小成，已領悟出新的技能。
String = 61410,#a03#日夜苦修，終得勘破訣竅，領悟新的技能。
String = 61411,%s 地牢人犯騷動，#a02# 趁隙脫逃！！
String = 61412,#a02# 來日必報此大仇，#b04# 小兒你死期不遠！！
String = 61413,#a02# 今日有幸逃出生天，來日必手刃 #b04# 奸賊！！
String = 61414,#a02# 必牢記此番屈辱，來日必教汝悔不當初！！
String = 61415,#a02# 自 %s 地牢逃脫，順利返回 %s。
String = 61416,今日僥倖自敵營逃脫，必領兵報此大仇。
String = 61417,#a03# 僥倖逃出死牢，來日必領兵誅滅賊黨，洗刷階下之辱。
String = 61418,此番遭奸人所擒，乃一時疏忽，吾當深自反省，記取教訓。
String = 61419,武將技
String = 61420,軍師技
String = 61421,接納
String = 61422,斬首
String = 61425,我軍武將 #a02#煽動軍心，引兵投 #b04# 陣營去了！！
String = 61426,我軍武將 #a02#私盜軍費，捲款投 #b04# 陣營去了！！
String = 61433,賊將#b02#休想令吾投降，若不能拼死一戰，豈不辜負我軍重託！
String = 61434,將士們，人之死可輕於鴻毛，可重於泰山，我今日縱死亦為後者！
String = 61435,今日吾等需破釜沈舟拼死一戰！
String = 61436,我軍幾無勝算，可得見機行事，以求後路！
String = 61437,我#a02#不想今日竟要命喪於此……
String = 61438,吾命休矣……
String = 61439,為將者豈可貪生怕死！我#a02#今日戰死沙場也絕不投降！
String = 61440,賊人休得仗勢倡狂，#a02#今日定要與你拼個死活！
String = 61441,廢話少說，較量之後方知結果！
String = 61442,無恥#b02#竟欲趁機害我，莫非吾今日時運不濟？
String = 61443,無謀之人才會不論敵勢，強與之對決。
String = 61444,莫非今日天將亡我？將士們，堅守陣形，或有一線勝機！
String = 61445,今日正是一決高下的時候！
String = 61446,敵軍不足懼，將士們，拿出勇氣來！
String = 61447,我#a02#絕非膽小怕死之人！
String = 61448,性命乃父母所賜，豈能輕易便於此斷送……
String = 61449,吾需先保性命，伺機再求取勝之策。
String = 61450,此戰不易，實無得勝把握……
String = 61451,戰士們，為了我軍的榮譽，我們要拼死戰到一兵一卒！
String = 61452,戰神！請庇祐您的子民，賜我以一擋百的勇氣！
String = 61453,哼！就算情勢不利，#a02#也要以鮮血來表達對我軍的忠誠！
String = 61454,奸賊來勢洶洶，此戰凶多吉少，我#a02#今生恐怕再無緣效忠我軍！
String = 61455,此戰不得天時，若不幸戰敗，我#a02#也算不辱我匈奴一族的威名。
String = 61456,罷了，今日若遭不幸，也是戰神的旨意，殺啊！
String = 61457,賊將莫要看輕我軍，南人絕非貪生怕死之輩！
String = 61458,#a02#向受我軍看重，理當粉身碎骨，豈會膽怯，狗賊不要癡心妄想！
String = 61459,只有戰死的南人，絕沒有投降的南人，今天就和你們這些逆賊拼個你死我活！
String = 61460,戰況如此不利，我南人戰士縱使驍勇，恐怕也難扭轉劣勢。
String = 61461,#a02#恐將魂斷此地，南方故鄉的蒼鬱山林，也許再無緣得見……
String = 61462,今日一戰如此險惡，恐怕再無機會為我軍殺敵斬賊。
String = 61463,燃燒武士之魂，日出的武士只進不退！
String = 61464,我#a04#今日要貫徹武士的志節，拼死以報我軍弟兄。
String = 61465,臨陣怯戰豈是日出之武士所為，士兵們！衝啊！
String = 61466,若擇機撤退，或許還有歸營的機會，眾人見機行事。
String = 61467,不是非要戰死沙場才是英雄，若無力回天也只得伺機而逃。
String = 61468,天命如此，#a02#恐怕無緣再見同袍弟兄。
String = 61469,哼！我軍如此看重吾一介女流，縱戰死沙場也不能辜負我軍弟兄。
String = 61470,今日捨命一戰，讓世人明瞭女子亦知貫徹忠烈之道。
String = 61471,為了大義，妾身今日只得捨生一戰！
String = 61472,就算戰勝我一介女流，也稱不上英雄。
String = 61473,敵將竟欺負我這女流之輩，勝之亦不光彩！
String = 61474,局勢如此險惡，妾身今日恐將魂斷於此。
String = 61475,雖敵強我弱，若有膽敢趁亂逃跑，亂我軍心者，定斬無赦！
String = 61476,#a02#今奉詔討賊，賊將#b02#命不久矣！
String = 61477,今日一戰，#a02#若不能戰勝賊將，只有一死以謝我軍！
String = 61478,將士們！不可躁進，守勢為上！
String = 61479,一切只好聽天由命……
String = 61480,還是先看看有無建功的機會再做定奪……
String = 61481,賊將#b02#莫要叫囂，看你有何本事勝我！
String = 61482,爾等膽敢狗眼看人，休怪我#a02#刀下不留情面！
String = 61483,尚未交手，#b02#焉敢輕視我軍？
String = 61484,可惡！#b02#戰力似乎略勝一籌。
String = 61485,今日一戰縱然得勝，恐怕也要付出相當代價。
String = 61486,欲除此反賊，恐怕還需一番惡戰。
String = 61487,賊將#b02#莫以為穩操勝券，爾等一介武夫，有勇無謀，我不怕汝！
String = 61488,想穩勝我#a02#，爾等不會得逞！
String = 61489,莫以為汝等必勝，沙場瞬息萬變，勝負還在未定之天！
String = 61490,好漢不吃眼前虧，我等莫與之硬拼！
String = 61491,雖然心有不甘，但以今日之勢只好見機撤退了。
String = 61492,吾#a03#今日恐將命喪於今日……
String = 61493,把戰鼓敲響，匈奴的戰士豈能敗在此等賊人之手！
String = 61494,我#a02#乃是匈奴一族的勇士，若敗在此等鼠輩手下，今後有何面目見人？
String = 61495,賊將莫要看輕我北方草原的勇者，我們的環刀利箭未必會敗給你等！
String = 61496,如果不能取勝，如風的快馬將帶我等回轉我軍城寨，請領兵馬再決勝負！
String = 61497,今日戰後，未知能否再見家鄉的遼闊草原？
String = 61498,唉！我#a02#也許再無馳騁廣大草原的一天了。
String = 61499,弟兄們，拿出南人的氣魄，把軟弱的敵人殺個精光！
String = 61500,狗賊#b02#膽敢妨礙我軍霸業，有本事就來勝過我！
String = 61501,弟兄們振作起來，莫使敵將輕視我軍！
String = 61502,南人縱使勇猛，也不會至於蠻幹硬拼，弟兄們！以守為攻，切莫自亂陣腳。
String = 61503,南人可不是只知衝殺的無智之輩，弟兄們見機行事，小心為上。
String = 61504,觀此局勢，怕要擇機轉進，來日回轉我軍請調兵馬，方可再來迎敵。
String = 61505,燃燒鬥魂吧！能扭轉逆境才是真正的武士。
String = 61506,我#b02#有萬夫莫敵之威，敵軍不過略勝一籌，有何可怕？
String = 61507,#b04#大人的武士個個能以一敵百，眼前陣仗不過爾爾！
String = 61508,沙場情勢混沌不明，端看戰況如何，再做應變！
String = 61509,橫衝亂撞枉稱武士，隨機應變方為上策。
String = 61510,沒想到#b02#也有兩下子，此番恐怕是場硬仗。
String = 61511,#b02#將軍莫非怕我一介女流不成？
String = 61512,汝等有何本事，敢不把我#a02#放在眼裏，看奴家英雌威風！
String = 61513,我雖一婦人，卻也知忠心報國，豈會對敵將稱臣！
String = 61514,本姑娘可不是省油的燈，豈不知以守為攻之理！
String = 61515,吾雖婦人，亦知進退之機，若不可勝，需伺機遁逃，他日捲土重來未晚。
String = 61516,吾一介弱質女流，今日惡戰只能聽天由命。
String = 61517,賊將#b02#莫要倡狂，今日之勢，鹿死誰手猶未可知！
String = 61518,向聞#b03#之名，今日得幸一會也！
String = 61519,昔日賊強我弱尚不屈服，更何況今日勢均力敵，我等怎會輕易認輸？
String = 61520,#b03#這般叫囂，簡直與三歲孩童無異！
String = 61521,今日就讓你#b02#見識見識狗眼看人的下場。
String = 61522,無知鼠輩，還不束手就擒！
String = 61523,來啊！今日#b02#自己送上門來，我等正可替主上分憂，除此心頭之患！
String = 61524,大膽#b02#！敬酒不吃吃罰酒，竟敢來我陣前撒野？
String = 61525,賊子休走，今日我等要大開殺戒！
String = 61526,#b03#儘管來戰，我今日定要與你分出高下！
String = 61527,閣下是不是英雄，今日一試便知！
String = 61528,小賊有何本事，竟敢在這裏叫囂！
String = 61529,鼠輩竟然放肆到我#a02#頭上來了！
String = 61530,縱千軍萬馬#a03#亦來去自如，汝等小賊也敢攔我？
String = 61531,無道奸賊，大將#a02#在此，爾等豈不知死期不遠！
String = 61532,我乃大將#a02#，若不怕死，儘管放馬過來！
String = 61533,狗賊圖我州郡久矣，以為#a03#不知嗎？今日定教汝等斷絕妄念！
String = 61534,#a02#在此，賊將#b02#休走！
String = 61535,蒼天保佑，我#a02#今日終於有機會為我軍殺敵建業！
String = 61536,哈哈！賊將莫要再倡狂，此戰過後你們將臣服於我軍威勢！
String = 61537,賊既來犯，正可讓#a02#試試手中的環刀快或不快！
String = 61538,太陽的光芒將永遠守護草原的子民，我軍的敵人休想取勝！
String = 61539,#a03#將如草原的狂風一般殲滅汝等反賊，這就是頑抗我軍的下場。
String = 61540,賊將#b02#只是浪得虛名，絕勝不了我軍鐵騎！
String = 61541,將士們衝啊！若可打敗敵將，必重重有賞。
String = 61542,弟兄們！拿出虎豹般的氣勢，把這些賊將連人帶馬砍個粉碎！
String = 61543,賊將#b02#睜大眼睛，今天讓你見識見識我南人的威風！
String = 61544,吾雖蠻人，卻也頗習兵法，想要勝我#a02#，沒那麼容易！
String = 61545,弟兄們！整備軍馬，今日正可為我軍殲滅賊人！
String = 61546,弟兄們！把這些狗賊統統拿下！
String = 61547,與我軍敵對者，#a03#絕不輕饒，一決勝負吧！
String = 61548,日出的武士所向無敵，今日也不會例外！
String = 61549,武士們！我們一展身手的時候到了，把敵人砍下馬來！
String = 61550,#b02#這樣的小卒不是我們的對手，武士們奮勇立功吧！
String = 61551,多言無用，勝負一決！
String = 61552,出征！日出的武士必將戰勝敵人！
String = 61553,狗賊休得看輕#a02#，我雖是女兒之身，但未必不能勝你！
String = 61554,小賊#b02#以為本姑娘不能一刀斬了你嗎？
String = 61555,#b02#的些微本事只可驚嚇他人，怎敢在本姑娘面前賣弄？
String = 61556,妾身今日要替天行道，剷除反賊！
String = 61557,鹿死誰手尚不可知，有本事汝便打贏本姑娘，也好讓吾心服口服！
String = 61558,賊將報上名來，本姑娘不與鼠輩交戰！
String = 61559,見我大隊軍馬仍無懼色，#b03#也算是個人物，可惜今日汝死期已至！
String = 61560,敢來叫戰實乃勇氣可嘉，可惜今日爾等恐怕逞不了英雄！
String = 61561,鼠輩也不看看面前所站何人，大將#a02#在此汝等還敢放肆！
String = 61562,將士們，建功揚名只在今朝，切莫錯失良機。
String = 61563,爾等今日與我交戰，切莫悔不當初！
String = 61564,成王敗寇，今日必要你#b02#伏首稱臣！
String = 61565,爾等來與我#a02#挑戰，不是自討苦吃嗎？
String = 61566,今日定要汝等知曉我軍威浩蕩！
String = 61567,投效反賊#b04#，阻擋我軍大業，汝等今日將付出代價！
String = 61568,不知天高地厚的小賊，爾等並無多少勝算，何苦硬要自取其辱！
String = 61569,不趁現在解決了這些鼠輩還等什麼時候？
String = 61570,哼！此等下將我還不看在眼裡！
String = 61571,大將#a02#馬前，豈容得奸賊在此撒野？
String = 61572,#b04#軍中難道沒有像樣的對手可與我比試嗎？
String = 61573,閣下有何能耐，試過便知！
String = 61574,吾一定會取回賊將#b02#的首級！
String = 61575,將士們！讓敵人知道王道之師的厲害！
String = 61576,賊將真有膽量與#a02#一戰？
String = 61577,勇士們衝啊！讓我匈奴一族的號角響遍每一寸土地！
String = 61578,#b02#也不睜大眼睛看看，這些庸兵俗子豈是我北方勇士的對手！
String = 61579,匈奴一族的的勇猛戰士竟要與汝等小賊對陣，難道天下已無猛將高手了嗎？
String = 61580,衝啊！把一干叛賊通通拿下！
String = 61581,大草原的的勇士們，一鼓作氣，剿滅敵軍！
String = 61582,頑抗我軍必敗無疑，爾等狗賊到現在還不清楚嗎？
String = 61583,小賊#b02#！莫要讓我南方健兒的神勇嚇破膽了！
String = 61584,小賊#b02#！體驗南人虎豹般的威猛吧！
String = 61585,南蠻之人的威風，今日就教你見識！
String = 61586,久聞#b02#大名，今日正可拿下你，以為天下逆賊警惕！
String = 61587,#a02#還沒遇過打不倒的敵人，束手就擒吧！
String = 61588,狗賊究竟有何本事？膽敢在我#a02#面前撒野！
String = 61589,替天行道！日出猛將#a02#參見！
String = 61590,大將#a02#出陣！汝等叛賊何人能擋？
String = 61591,大將#a02#奉命討伐叛逆，汝等要為頑抗我軍付出代價！
String = 61592,小賊#b02#，在大將#a02#的面前，你絕無勝機！
String = 61593,哈哈哈！汝等不識大體之輩，我要好好教訓一番！
