[STRING]
String = 60000,阵型说明(自设武将)
String = 61597,吾乃女将#a02#，逆贼早降，免遭屠戮！
String = 61598,贼将#b02#向日自夸神勇，遇上本姑娘也只有伏首称臣的份！
String = 61599,贼将岂不闻我#a02#英雌之名？还不快快卸甲来降！
String = 61600,该死之徒，犹不纳降，尚敢来与本姑娘对阵？
String = 61601,汝等大势已去，见我#a02#在此，如何不降？
String = 61602,小贼死期至矣！局势至此，竟还冥顽不灵！
String = 61603,汝乃无名下将，非#a03#敌手，何需白费力气！
String = 61604,汝不思早降，犹欲抗拒，何不知天命耶！
String = 61605,奸贼，我军乃天命所归，汝等逆天行事，必败无疑！
String = 61606,乱臣贼子休存侥幸，今日我等要大开杀戒！
String = 61607,吾欲缚汝#b02#于马前，如擒一兔耳。
String = 61608,尔等弱势如此，犹如螳臂挡车！
String = 61609,不怕死的就来一决胜负，和我#a02#交手的，还没有一个人能活着看到明天的太阳！
String = 61610,有什么遗言就快说，本将没工夫陪你啰嗦！
String = 61611,将士们，杀贼的大好机会就在今日，冲啊！把他们杀个片甲不留！
String = 61612,小贼竟放肆至此，吾驰骋沙场的时候，汝还不知在哪里呢！
String = 61613,#a03#原不屑与行伍小卒争战，无奈窄路相逢，只得略施气力收拾汝等！
String = 61614,和我#a02#挑衅，贼将莫非活得不耐烦了？
String = 61615,贼将来得正好，将士们！今日终于有幸欣赏#b02#的落马英姿！
String = 61616,我#a02#堂堂大将与汝等小卒对阵，汝等当感荣幸！
String = 61617,#b02#小儿大祸临头还不悔悟！也不看看孰强孰弱！
String = 61618,不识我#a02#，只恐汝悔之无门！
String = 61619,太阳的光芒已经照耀到这片土地，你们这些愚蠢的奸贼竟然还不臣服，甘愿今日在这里送死吗？
String = 61620,勇士们！快快解决这些叛贼，早些回去享受美酒肥羊吧！
String = 61621,下跪求饶趁早，我#a02#手上的环刀已经等的不耐烦了！
String = 61622,在#a04#可汗的大军前放肆，鼠辈#b02#真是胆子不小！
String = 61623,敌军不过如此，勇士们！建功立功只在今朝！
String = 61624,我军的铁骑骏马今日将踏平战场的每一寸土地！
String = 61625,贼将看看你我军势，我要胜汝，犹如虎豹搏兔，汝等何不早降？
String = 61626,教吾等堂堂南人勇士对付这些饭桶，真是大材小用！
String = 61627,贼人今日既来送死，可别怪我#a02#手下不留情面。
String = 61628,尔等若可胜我，我#a02#甘愿横刀自刎，可惜尔等没这个能耐！
String = 61629,哈哈哈！没想到今日可将#b02#手到擒来，不如你乖乖下马投降吧！
String = 61630,#b02#仔细看好了，这就是我们南人勇士的实力！
String = 61631,退下！退下！退下！汝等可知面前何人？我乃倭国武士#a02#是也。
String = 61632,汝等逆天行事，就算上天能原谅你们，我手中的利剑也无法原谅。
String = 61633,忤逆我军者皆是必杀的对象，制裁！
String = 61634,倭国的武士拥有不灭斗魂，汝等断无可趁之机！
String = 61635,阻挡我军即是拂逆天意，接受天诛吧！
String = 61636,吾等乃是必胜之武士，汝等竟还不降？
String = 61637,妾身不喜血腥，无奈为成就我军霸业，今日唯有大开杀戒！
String = 61638,汝等将被本姑娘斩于马前，事到如今，究竟降是不降？
String = 61639,哼！吾虽女流，但早有威名在外，#b02#敢来和我较量，实乃勇气可嘉！
String = 61640,逆天恶贼！本姑娘要代替上天惩罚你！
String = 61641,叛贼受死！可死于本姑娘手下，汝也算三生有幸！
String = 61642,死到临头还要硬撑，今日就叫你知道看不起女子的下场！
String = 61643,今日除贼，谁人再敢小窥我军之力？
String = 61644,哼！逆贼祸国殃民，死有余辜。
String = 61645,耳听为虚，眼见为实，原来#b02#也不过如此！
String = 61646,想赢我#a02#，再等个一百年吧！
String = 61647,顺我者生，逆我者亡，阁下不会连这个道理也不懂吧？
String = 61648,狗贼尝到我#a02#的厉害了吧？
String = 61649,天下乃是我军的天下，尔等今日最好记住！
String = 61650,逆贼非吾敌手，今次可败得心服口服？
String = 61651,想不到#b02#这种程度也敢来献丑！
String = 61652,太阳的光芒照耀处尽是我军的土地，狂妄恶徒败之当然。
String = 61653,草原的子民永远受战神眷顾！
String = 61654,北方草原的军队是永远不败的！
String = 61655,展现虎豹般的勇气，杀退软弱的贼人！
String = 61656,汝乃蝼蚁，我乃虎豹，焉有不胜之理！
String = 61657,我军有如猛虎，汝等鼠辈如何不败？
String = 61658,这就是大将#a02#的实力！服是不服？
String = 61659,我军终将掌握天下，汝等何必自讨苦吃。
String = 61660,区区小贼，败之易如反掌。
String = 61661,汝今日可见识何谓巾帼不让须眉？
String = 61662,吾虽一妇人，擒你#b02#尚可胜任！
String = 61663,早日向妾身投降，或可饶你一命，时至今日，你只有任凭我军发落！
String = 61664,有什么话到阴曹地府去和阎王说吧！
String = 61665,这就是#b02#的真功夫吗？吾今日终于有幸领教！
String = 61666,#b03#非吾敌手，何苦前来白白送命。
String = 61667,哈哈！小娃娃羽翼未丰就想和我斗？！
String = 61668,小贼下次先秤秤斤两再来叫战不迟！
String = 61669,就这么点本事，真是浪费我的时间！
String = 61670,江山社稷怎能落入汝等一干叛贼之手！
String = 61671,这就是大名鼎鼎的#b02#吗？当真不堪一击！
String = 61672,#b02#实力不过如此，当真手无缚鸡之力。
String = 61673,大草原的勇士们！尽情享受庆功的酒肉吧！
String = 61674,让凯歌响彻草原吧！草原的勇士再度获得胜利。
String = 61675,没长眼睛的狗贼，#b02#总算见识到我北方勇士的厉害了吧？
String = 61676,枉你#b02#平日名声显赫，今天还不是被我南蛮之人打得落花流水！
String = 61677,哈哈哈！早说过轻视我南人是没有好下场的！
String = 61678,吾筋骨还没活动开，小贼到竟落下马来了。
String = 61679,你……已经输了。
String = 61680,哈哈哈！倭国的武士永远是胜利的一方。
String = 61681,#b02#不过尔尔，连帮我牵马都不够格！
String = 61682,这么两下子就败下阵来，真是浪费本姑娘的青春！
String = 61683,只有这点本事也敢劳动本姑娘大驾，真是混帐！
String = 61684,今日输给本姑娘，你服是不服？
String = 61685,吾人一片赤胆忠心，今日败战，有死而已。
String = 61686,吾人生平以忠义处世，今日落难，也对得起天地鬼神。
String = 61687,生死我早已置身度外，动手吧！
String = 61688,我竟败于#b02#之手，可恨啊！
String = 61689,#a02#岂是怕死之人，要杀要剐悉听尊便！
String = 61690,既入贼手，有死而已，我绝不投降。
String = 61691,#a03#今日竟败于此等小贼之手，含恨啊！
String = 61692,要杀便杀，我无话可说。
String = 61693,可恨啊！
String = 61694,新增 匈奴 战胜 义理高
String = 61695,新增 匈奴 战胜 义理高
String = 61696,新增 匈奴 战胜 义理高
String = 61697,新增 蛮族 战败 义理高
String = 61698,新增 蛮族 战败 义理高
String = 61699,新增 蛮族 战败 义理高
String = 61700,新增 倭族 战胜 义理高
String = 61701,新增 倭族 战胜 义理高
String = 61702,新增 倭族 战胜 义理高
String = 61703,新增 女性 战败 义理高
String = 61704,新增 女性 战败 义理高
String = 61705,新增 女性 战败 义理高
String = 61706,新增 文骂 战败 义理低
String = 61707,新增 文骂 战败 义理低
String = 61708,新增 文骂 战败 义理低
String = 61709,新增 武骂 战败 义理低
String = 61710,新增 武骂 战败 义理低
String = 61711,新增 武骂 战败 义理低
String = 61712,新增 汉族 战败 义理低
String = 61713,新增 汉族 战败 义理低
String = 61714,新增 汉族 战败 义理低
String = 61715,新增 匈奴 战败 义理低
String = 61716,新增 匈奴 战败 义理低
String = 61717,新增 匈奴 战败 义理低
String = 61718,新增 蛮族 战败 义理低
String = 61719,新增 蛮族 战败 义理低
String = 61720,新增 蛮族 战败 义理低
String = 61721,新增 倭族 战败 义理低
String = 61722,新增 倭族 战败 义理低
String = 61723,新增 倭族 战败 义理低
String = 61724,新增 女性 战败 义理低
String = 61725,新增 女性 战败 义理低
String = 61726,新增 女性 战败 义理低
String = 61727,将军行事磊落，吾今日败得心服口服，告辞！
String = 61728,将军仁义，某铭记在心，大恩不言谢，拜别！
String = 61729,当真不杀我？将军恩德吾决不相忘！
String = 61730,本以为此番命将休矣，没想到将军竟肯放#a02#归寨，大恩大德定不相忘！
String = 61731,多谢不杀之恩，#a02#必牢记将军恩德。
String = 61732,竟然肯放我一条生路，难道#a04#才是济世明主？
String = 61733,向闻将军爱将之人，今日得幸一见，果真名不虚传。
String = 61734,将军恩德，#a02#感激不尽！
String = 61735,大恩不言谢，#a02#必牢记此事，告辞！
String = 61736,本以为再也看不到家乡的草原，幸得将军饶我不死。
String = 61737,将军如此仁义，#a02#必不相忘。
String = 61738,匈奴人有恩必报，今日之事绝不敢忘
String = 61739,今吾心折服，子孙皆感将军之恩。
String = 61740,将军心胸原来如此宽大，#a02#几欲错怪……
String = 61741,将军今日之恩，#a02#牢记于心。
String = 61742,大人的名字我#a02#不会忘记的，后会有期！
String = 61743,大人贯彻仁义之道，乃是武士中的武士，#a02#永感大恩。
String = 61744,大人恩义，#a02#永记于心。
String = 61745,将军未因#a03#乃女儿身而有所轻视，竟放我一条生路，妾身感激不尽，告辞。
String = 61746,小女子深感将军不杀之恩，定牢记将军之仁义风范。
String = 61747,将军大恩大德，小女子没齿难忘。
String = 61748,君子报仇，十年不晚！
String = 61749,此地不宜久留，趁贼将尚未反悔，保命要紧！
String = 61750,欲擒故纵，是要存心羞辱我吗？
String = 61751,哼！从今日开始，日夜小心自己的脑袋吧！
String = 61752,老天有眼，捡回一条命了。
String = 61753,放过我，是你今生最大的错误！
String = 61754,给我记住，来日吾定当前来雪耻！
String = 61755,罢了！趁此机会飞马而逃，日后报仇不晚！
String = 61756,莫以为略施小惠，便可拢络我#a02#。
String = 61757,此仇我必加倍奉还，待我取环刀利箭再来战汝！
String = 61758,小贼！北方草原的勇士必不忘今日之仇！
String = 61759,污辱匈奴一族的战士，来日必付出代价！
String = 61760,哼！别以为我#a03#会就此放过你们！
String = 61761,可恶！我必城寨请调兵马，歼灭汝等叛贼。
String = 61762,先擒后释，欺我南人太甚！
String = 61763,汝等妇人之仁，灭亡之日不远。
String = 61764,哼！现在放了#a02#，他日莫要后悔！
String = 61765,放了我#a02#，来日兵临城下，可别悔不当初。
String = 61766,没想到竟险些丧命于此，本姑娘他日必报此深仇大恨。
String = 61767,此仇不报，本姑娘难解心头之恨！
String = 61768,此仇不共戴天，妾身来日必雪此恨。
String = 61769,天地正气在我心，刀斧临头惟一笑。
String = 61770,#a03#非是怕死之人，要杀要剐悉听尊便！
String = 61771,背信叛主绝不是我#a02#会做的事情，动手吧！
String = 61772,既领兵为将，早有战死沙场的觉悟！
String = 61773,废话少说，一刀杀了我比较痛快！
String = 61774,人生在世终有一死，我#a02#今天要死得光明磊落！
String = 61775,若要屈从#b04#此等小人，#a02#情愿受死！
String = 61776,要杀便杀，吾情愿就死！
String = 61777,能成就大义而亡，我死而无憾！
String = 61778,我不想再见到汝等奸贼嘴脸，就算死，我也是光荣的匈奴勇士！
String = 61779,我匈奴一族岂有贪生怕死之人，给我个痛快吧！
String = 61780,广大草原的子民绝没有贪生怕死之辈！
String = 61781,狗贼！我军弟兄必为我报仇雪恨！
String = 61782,南蛮勇士宁受屠戮，也要守住一片赤胆忠心！
String = 61783,今日就教汝等看看我南人宁死不屈的气慨！
String = 61784,要杀便杀，倭国的武士随时有献出生命的觉悟。
String = 61785,既已沙场失利，#a02#无话可说，只求一刀痛快！
String = 61786,倭国的武士早有捐躯沙场的觉悟，动手吧！
String = 61787,哼！今日就让汝等见识女子的忠肝义胆！
String = 61788,本姑娘就算只剩一缕幽魂，决不轻饶尔等逆贼！
String = 61789,与其屈身贼人，奴家宁愿一死。
String = 61790,有话好说，何必动刀动枪……
String = 61791,吾有眼不识泰山，将军饶命啊！
String = 61792,是我不知好歹，将军刀下留人啊！
String = 61793,只怪我当初没早铲除你这个小贼，竟至今日要丧命于此……
String = 61794,生死在天，若我#a03#命数已终，吾也无话可讲……
String = 61795,狗贼！我就是作鬼也不会放过你！
String = 61796,天将亡我，心实不甘！
String = 61797,#a02#愿降了，刀下留人啊！
String = 61798,饶命啊！#a02#愿降！
String = 61799,#a02#愿降了，将军且慢动手！
String = 61800,我#a02#愿意投降，大人饶命啊！
String = 61801,#a02#愿尊#b04#大人为可汗，刀下留人啊！
String = 61802,看来我#a02#命止于此，无缘再见南方美丽的群山森林……
String = 61803,将军开恩，#a02#愿降！
String = 61804,南人非是不知好歹之辈，#a02#愿降了！
String = 61805,#a02#愿为家臣，且慢动刀啊！
String = 61806,#a02#愿效犬马之劳，恳请大人放我一条生路。
String = 61807,#a02#愿为#b04#大人座下武士，刀下留人啊！
String = 61808,罢了！看来妾身注定丧命今日……
String = 61809,莫动刀枪，小女子愿降将军。
String = 61810,小女子愿效忠#b04#大人，饶命啊！
String = 61811,忠臣不仕二主，贼将不必白费口舌。
String = 61812,狗贼莫以为日后我会俯首称臣。
String = 61813,大丈夫宁可玉碎，决不求瓦全。
String = 61814,无道恶贼，焉敢如此？
String = 61815,我#a02#非是背骨之人，你们死心吧！
String = 61816,如此就想使我#a02#投降，奸贼实愚不可及。
String = 61817,既入贼手，吾当死节。
String = 61818,#a02#岂是不忠不义之徒，就是羁押一世，我也决不投降！
String = 61819,纵要在黑牢终老一生，我也不做贼人走狗！
String = 61820,我#a02#是堂堂正正的匈奴战士，永远不会投降贼人！
String = 61821,我#a02#只是时运不济，狗贼休想逼我反叛。
String = 61822,即便监禁终生，匈奴的战士也决不会投降！
String = 61823,南人之忠义，犹如万丈高山，是永远不会动摇的！
String = 61824,今#a02#虽陷贼窟，亦不改南人的志节。
String = 61825,吾乃南人勇士，就算在牢中度此残生，也不屈身于贼！
String = 61826,叛逆背主之人不配称为武士，狗贼别白费力气！
String = 61827,倭国的武士岂是不忠不义之人？！
String = 61828,投降他人有违武士之道，你们死心吧！
String = 61829,吾虽妇人，却也知忠臣不仕二主之理！
String = 61830,本姑娘岂是背主苟活之人？
String = 61831,纵入黑牢，妾身也没有投降的可能。
String = 61832,贼人休要得意，吾人必将东山再起。
String = 61833,难道我#a02#将在黑牢之内了此残生？
String = 61834,我定将逃出黑牢，整兵再战！
String = 61835,无耻小贼竟敢如此羞辱本将军！
String = 61836,哼！你们的牢饭最好合本将军胃口！
String = 61837,你们的牢房关得住本将军吗？
String = 61838,先保得性命，他日或可重返吾寨˙˙˙˙
String = 61839,唉！天命如此，一切随缘吧！
String = 61840,留得青山在，不怕没柴烧。
String = 61841,吾宁死也绝不另择他主！
String = 61842,吾定设法逃回我城寨！
String = 61843,匈奴的勇士有如草原疾风，你们的牢房关得住吗？
String = 61844,我军弟兄一定会来营救我的˙˙˙˙
String = 61845,哼！汝等牢中最好有酒肉伺候！
String = 61846,南蛮的战士有如林中虎豹，迟早挣脱汝等枷锁！
String = 61847,我#a02#堂堂武士绝不会投降敌人，忍辱偷生！
String = 61848,能擒得我#a02#，不过是你运气好罢了！
String = 61849,倭国武士决不投降！
String = 61850,莫要花言巧语，本姑娘是不会反叛的！
String = 61851,奴家决不投降，汝等莫要痴心妄想。
String = 61852,别以为女流之辈意志薄弱，本姑娘是不会投降的！
String = 61853,听汝一言在下方觉茅塞顿开，#a02#愿诚心归降。
String = 61854,#a03#愚昧，今日才知另择明主，吾愿归顺，还望为时未晚。
String = 61855,大人不杀之恩吾牢记于心，#a03#之性命乃大人所赐，岂敢再有反叛之心？
String = 61856,#b04#大人乃仁德之主，#a03#愿随主公驰骋南北，侍立左右。
String = 61857,大人一片美意，吾绝非不明大义之人，#a03# 愿为大人披甲御敌。
String = 61858,#a03#久慕大人之名，今可相随吾只觉万分荣幸。
String = 61859,为将需择明主，似#b04#大人这般器量，吾必当誓死相随。
String = 61860,#a03#思追随#b02#大人久矣，今承蒙抬爱，此乃在下求之不得的美事，何敢不从？
String = 61861,大人才德远胜旧主，在下敬慕久矣，乞能追随左右。
String = 61862,#b04#大人乃成大功业之当世明主，#a03#先时与君为敌实不得已也，今吾愿助君成大事，望为时不晚。
String = 61863,汝等不必空费心力，我#a02#宁死不降。
String = 61864,为将者岂可贪生怕死，#a02#绝不投降，要杀要剐悉听尊便。
String = 61865,#b02#勿辱本将，吾今可一死，绝不做那叛降之人。
String = 61866,#b04#尚不配吾追随称臣，汝等莫再痴心妄想。
String = 61867,常言道忠臣不仕二主，#b02#难道不知此理？吾志难改，恕难从命。
String = 61868,#a03#恐为天下人笑柄，#b04#大人好意吾心领了。
String = 61869,#b04#大人虽一片美意，但吾岂可旦夕便叛降他人。
String = 61870,#a03#今时今日实难归降大人，容#a02#考虑一番。
String = 61871,某实心敬#b04#大人，亦难叛离我军，所谓忠义难两全，请大人见谅。
String = 61872,承蒙#b04#大人垂青，#a03#三生有幸，无奈我与同袍弟兄乃生死之交，只得有负大人厚望。
String = 61873,被当众斩首。
String = 61874,释放。
String = 61875,被打入大牢。
String = 61876,加入我军。\n
String = 61877,拒绝加入我军。
String = 61890,我军于%s发现人才#b02#。
String = 61891,我军向来仰慕将军才德，望#b02#将军审慎考虑，与我等共图天下。
String = 61892,料想#b02#将军亦是身怀抱负之人，若愿归我军麾下，正可一展长才。
String = 61893,我军正是招贤纳士之际，此乃扬名立业的大好良机，望将军考虑吾一番肺腑之言。
String = 61894,#a03#知汝绝非甘于平庸之人，我军有意相请，错过此绝佳良机，岂不可惜？
String = 61895,在下恳请将军出仕我军，若汝应允，何愁不得荣华富贵？
String = 61896,吾观将军亦是明白之人，我军声势如此浩大，#b02#将军何不来投？
String = 61897,出仕我军，荣华富贵不在话下，汝乃聪明之人，个中益处吾人自不多言。
String = 61898,今天下大势乃归我军，将军何不来投我军，共成大事？
String = 61899,#a02#加入，进驻我军%s。
String = 61900,某得主公垂青，此恩实难相报，吾愿从主公共图大事。
String = 61901,#a03#三生有幸竟得#b04#大人如此厚爱，吾愿效犬马之劳，助大人一臂之力。
String = 61902,所谓士为知己者死，主公知遇之恩#a03#无以为报，愿为主公赴汤蹈火。
String = 61903,言之有理，#b04#大人一番美意在下不便相拒，在下愿辅佐主公。
String = 61904,吾本无此意，但闻汝一番肺腑之言不忍不从，若有可用之处，#a03#愿尽己所能。
String = 61905,#b04#大人之贤名乃人所敬仰，#a03#有幸相随岂有不从之理？
String = 61906,吾岂不识主公美意，愿效犬马之劳。
String = 61907,可得主公垂青，某万分荣幸，愿随主公左右。
String = 61908,此乃是#a03#求之不得之事，在下仰慕#b04#大人之名久矣，此番相邀实难相拒。
String = 61909,蒙#b04#大人不弃，容吾人随侍左右共成大事，此乃#a03#三生有幸。
String = 61910,#a02#拒绝加入我军。
String = 61911,承蒙#b04#大人不弃，可惜在下只一介莽夫，恐难当此大任，请见谅。
String = 61912,#a03#自知能力不足，天下贤士何其之多，大人何不另择能人相辅。
String = 61913,多谢美意，#a03#只恐心有余而力不足，有负厚望，请大人另寻高明。
String = 61914,#b04#大人心意#a03#心领，吾乃闲云野鹤、渔樵村夫，非是将相之才。
String = 61915,吾虽感#b04#大人一番诚意，但#a03#自知并非能人贤士，在其位而不能成其事，有误贵军大事，在下不便耽误#b04#大人功业。
String = 61916,多言无用，某无意仕途，汝徒费口舌而已。
String = 61917,莫再多言，在下不能相从。
String = 61918,#a03#便是只得做一村夫野人，也断不出仕汝军，莫再痴心妄想。
String = 61919,#b04#自以为何德何能，也配我#a02#相辅，汝无需多言。
String = 61920,吾无此意，汝莫再烦扰。
String = 61921,季内政 对话
String = 61922,本季已无俘虏可进行招降。
String = 61923,禀主公，本季可招降之俘虏皆已进行劝降，请主公明察。
String = 61924,自动招降完成
String = 61925,对地牢内所有俘虏进行招降，%s愿归我军。
String = 61926,我军#a02#对俘虏%s进行招降。
String = 61927,吾主#a04#乃礼贤下士之人，深爱将军之才，遇此明主，将军如何不弃暗投明？
String = 61928,今吾主愿与将军共谋大业，将军不但可保性命，更可留名于世，#b03#想是身怀抱负之人，此等良机切莫错过。
String = 61929,将军被我军所擒，必不愿此生苟活于暗牢之中，今吾主#a04#大人慕将军之名，愿不计前嫌招募将军于帐下，将军或可考虑吾主美意。
String = 61930,主公不忍见将军之才就此埋没，实乃仁德之明君，望将军可认清时势，投降吾主。
String = 61931,#b03#今时为阶下囚，生死全在吾主手中，若想保住性命，汝只能俯首称臣，别无他法。
String = 61932,坚执相抗于汝绝无益处，#b03#必知保得性命之理，且莫要一时糊涂，却丧性命。
String = 61933,将军之神威都已是昔日之事，现时汝不过是一待死囚徒，如今吾主#a04#大人愿好意相留，将军不从，莫非意欲命绝于此？
String = 61934,#b03#亦是识得大体之人，当知汝今日所处之境，吾劝将军早日投降吾主，以谋生路。
String = 61935,吾主好意愿得将军相辅，若是不从，主公一怒之下取汝性命，#b03#怕要后悔莫及，好自为之吧！
String = 61936,#a03#实不愿污我宝剑，生死只在汝一念之间，汝且三思而行。
String = 61937,#b03#若是仍想见到明日的太阳，今日便莫再强横。
String = 61938,#a03#不愿今日成汝之忌日，若执意顽抗，在下来年必为将军添一柱香，汝可放心。
String = 61939,#b03#乃是聪明之人，今日不降便只有死路一条，汝可要想清楚。
String = 61940,主公之意已明，今日#b03#若不降便赐汝一死，绝无姑息，#b03#究竟愿死愿降？
String = 61941,#b03#不降便死在今日，绝无第二次机会，莫怪我#a02#没有告诉过你。
String = 61942,汝早日投降便是，莫要浪费我的时间。
String = 61943,来人！给我行刑，让#b02#知道知道与我军为敌的下场。
String = 61944,给我好生教训教训#b02#，让其后悔未早日归降我军。
String = 61945,#b02#向不把吾主放在眼中，吾人深恨以久，今日定要好好惩戒一番。
String = 61946,哼！#b02#今日落入我军手中，定要让你永远记住不尊吾主的教训。
String = 61947,哈哈哈！你#b02#落入我手中，我岂能轻易放过这个大好机会，吾便让你知道何为求死不能。
String = 61948,往日不可一世的样子着实可恶，我要好好欣赏大名鼎鼎的#b02#今日在吾面前下跪求饶的模样。
String = 61949,#b02#杀我无数将士，今日在下要让你一刀一刀替他们偿还血债，哈哈哈哈哈！
String = 61950,慢慢享受我军款待吧！来人！用刑！
String = 61951,入我军阵营，富贵功名垂手可得，眼前金银钱帛不过九牛一毛，吾人何忍见#b03#老死于暗牢之中，请慎重考虑一番。
String = 61952,#b02#将军何不加入我军共图天下，将来财富必万倍于吾之薄礼，不知意下如何？
String = 61953,眼前金银不成敬意，只要#b03#归顺我军，立即还汝自由，慎重考虑吧！
String = 61954,这钱银是我军小小心意，汝若归顺，金银财宝当可享用不尽，慎重考虑吧！
String = 61955,眼前银两不过区区小数，若归我军，不仅可免监牢苦刑，荣华富贵更是享用不尽，请三思！
String = 61956,请#b02#将军笑纳薄礼，但若仍不降，恐怕也没命享用，望将军多加斟酌。
String = 61957,若愿为吾效力，所得何只眼前薄礼，否则冤死狱中岂不可惜，望汝善加考虑。
String = 61958,加入我军，功名利禄垂手可得，眼前的金银不过前礼而已。
String = 61959,说服人才
String = 61960,本季已无人才可进行说服。
String = 61961,禀主公，本季可游说的有才之士皆已进行说服，请主公明察。
String = 61962,自动说服完成
String = 61963,对登录有案的所有人才进行说服，%s愿归我军。
String = 61964,我军#a02#对#b02#进行说服。
String = 61965,#b03#乃是聪明之人，今日天下之势汝必知晓，不需在下多言，将军定愿加入我方才是。
String = 61966,我方军威浩荡，将军今已得见，#b03#乃神勇之人，如何不择良木而栖，扶助明主？
String = 61967,以#a04#大人今日威势，欲得一将绝非难事，汝乃识时务之人，还望三思，勿负主公一番美意。
String = 61968,#a04#大人军势如何，将军必有耳闻，现主公愿相请将军共成大事，相信汝必不负吾主之请。
String = 61969,以我军之势，何愁无能人相辅，今吾主#a04#大人欲相请出仕，汝最好相从，莫要不识好歹。
String = 61970,吾主#a04#大人使我前来相请，不知#b03#意下如何？得我主垂青，还没人敢不从，你最好也放聪明一点才好。
String = 61971,主公听闻#b02#在此，望得相助，特遣本将前来一问，汝若想保全性命，最好相允，否则恐怕后果难料。
String = 61972,吾特来为主公请将军辅佐，将军莫使#a02#空手而归，要知吾取汝首级实乃易如反掌。
String = 61973,#a04#大人向来仰慕将军才德，望#b02#将军审慎考虑与我等一同辅佐主公，共成大事。
String = 61974,料想#b02#将军亦是身怀抱负之人，若愿归吾主#a04#大人帐下，正可一展长才。
String = 61975,吾主#a04#大人乃爱将之人，此乃扬名立业之机，望将军考虑吾一番肺腑之言。
String = 61976,#a02#知将军绝非平庸之辈，今吾主#a04#大人使吾相请将军，将军岂可错过此建功立业的绝佳之机？
String = 61977,吾主#a04#大人今使在下相请将军，若汝应允，何愁不得荣华富贵？
String = 61978,吾观将军亦是明白之人，实不相瞒，跟随吾主荣华富贵享之不尽，如此美事，#b02#将军如何不从？
String = 61979,吾主今欲请将军相辅，请慎重考虑。若将军肯从，主公必许以封官厚礼，荣华富贵自不在话下。
String = 61980,今天下大势，乃归吾主#a04#大人，若能加入麾下莫不重用有加，此等美事将军如何相拒？
String = 61981,眼前金银钱帛可表我军爱才之意，请慎重考虑。
String = 61982,金银珠宝有如粪土，将相良才方为我军所重，#b03#何不与我等共成大事？
String = 61983,纵观局势，天下乃我军囊中之物，眼前金银不成敬意，望汝出仕我军，共图大计。
String = 61984,若出仕我军，所得金银岂只眼前百倍，请慎重考虑一番。
String = 61985,眼前银两不过区区小数，若愿出仕我军，荣华富贵何只百倍于此，请三思。
String = 61986,人生在世，所求不过名利而已，请将军笑纳薄礼，归顺吾主一事， 望汝多加斟酌。
String = 61987,吾主赏赐向来大方，区区薄礼请#b03#笑纳，若愿为我军效力，荣华富贵更是享用不尽，望汝善加考虑。
String = 61988,出仕我军，荣华富贵不享用不尽，眼前金银实不足道，请详加考虑。
String = 61989,设立储君
String = 61990,储君就任未满一年，无法进行更换
String = 61991,是否确定册立《玩家武将姓名》为储君
String = 61992,谢主公大恩，末将必全力以赴！
String = 61993,末将愿竭尽所能，为主公分忧！
String = 61994,末将何德何能居此要位，纵粉身碎骨亦将完成主公所托！！
String = 61995,属下无才无德，退位让贤实属应该。
String = 61996,属下难当此位，自当让贤，主公之决断，末将自当遵行。
String = 61997,储君之位末将实难担当，主公撤换之举，末将绝无怨言。
String = 61998,设立储君 #a03#
String = 61999,撤换储君 #a03#
String = 62003,#a02#受封为%s。
String = 62004,#a03#定为我军立下大功，赴汤蹈火再所不辞。
String = 62005,#a03#何德何能受此重托，吾定尽全力，以图大计。
String = 62006,若为我军功业，#a03#万死不辞。
String = 62007,#a03#粉身碎骨亦将为我军夺得天下。
String = 62008,我军之大业，吾人誓死亦将达成。
String = 62009,#a03#受此大位，定不负众人期望。
String = 62010,#a03#担当此位，必竭尽全力，建功立业。
String = 62011,#a02#受我军倚重，定要为我军赢得更多的土地和牛羊。
String = 62012,我军犹如草原劲风，必将席卷天下。
String = 62013,我军对我如此，#a02#将如虎豹，杀尽我军仇敌。
String = 62014,我军以#a02#为重，#a02#亦当以我军为重，必不负众人厚望。
String = 62015,能得我军如此器重，此乃武士之光荣。
String = 62016,纵使粉身碎骨，#a02#也要令我军称霸天下。
String = 62017,众人如此信任#a02#，吾定不计此女儿之身，与我军弟兄共成大业。
String = 62018,#a02#未想我军愿予我一妇人如此重任，吾愿为我军大业万死不辞。
String = 62019,我军如此看得起我，实在感激。
String = 62020,有我#a02#，我军必可一统天下，成万世之业。
String = 62021,#a02#得此位，实乃万幸。
String = 62022,#a03#定为我军赴汤蹈火。
String = 62023,#a03#多谢我军抬举。
String = 62024,#a03#生是我军之人，死是我军之鬼。
String = 62025,我军合吾人之力，定可将贼人剿灭，一统天下。
String = 62026,我们是最伟大的军队，我将带领我军踏遍太阳光辉照耀的每一寸土地。
String = 62027,我军如此看重#a02#，草原的子民永不会背叛。
String = 62028,我军犹如密林猛虎，乃威武之王者，必得天下能人之爱戴。
String = 62029,#a02#以我军为荣，得天下者非我军莫属，。
String = 62030,一介武士能得此权位，#a02#深感荣幸。
String = 62031,我军贯彻武士之道，必定可得到天下百姓的爱戴，霸权指日可待。
String = 62032,小女子得此权位，必为我军竭尽心力。
String = 62033,小女子受之有愧，#a02#粉身碎骨亦将为我军扫平逆贼。
